Index,Symbol,Time,SENTIMENT_SCORE,TWEET_COUNT,TWEETID,RETWEET,RETWEETID,AUTHOR_ID,ICS_HAS_FINANCE_BIO,NFOLLOWERS,NTWEETS,ICS_WHITELIST,ICS_IMPACT,VAL1,VAL2,VAL3,VAL4,VAL5,OMDSEQ,TWEET
91,iSentium::spy,2013/01/01 11:16:47.000,0.0,311386,286143942397927424,0,-1,260473647,1,219,5637,0,0.0145054,-1,-1,-1,-1,-1,0,Does anyone else remember when CNBC said Sunday night "Futures up but talks stalled; likely more losses" - Whoops; wrong again. $SPY $AAPL
92,iSentium::spy,2013/01/01 11:21:03.000,3.0,311387,11228024,0,-1,197918,0,-1,444,0,0.0,-1,-1,-1,-1,-1,0,
93,iSentium::spy,2013/01/01 11:25:01.000,0.0,311388,11228041,0,-1,152788,0,-1,109,0,0.0,-1,-1,-1,-1,-1,0,
94,iSentium::spy,2013/01/01 11:26:05.000,6.0,311389,286146283759104000,0,-1,17888317,0,10,356,0,0.0,-1,-1,-1,-1,-1,0,Commented on: "False Hope: Low Rates; Write-Offs Make Americans Richer By Default" http://t.co/T8NiVR3o $QQQ $SPY
95,iSentium::spy,2013/01/01 11:33:05.000,0.0,311390,11228079,0,-1,181514,0,-1,375,0,0.0,-1,-1,-1,-1,-1,0,
96,iSentium::spy,2013/01/01 11:34:02.000,8.0,311391,286148285117394944,0,-1,16429977,1,133480,387,0,0.237624,-1,-1,-1,-1,-1,0,$SPX; $SPY; $AAPL    Happy New Year- lets see how happy we stay in  the stock market in 2013
97,iSentium::spy,2013/01/01 11:35:37.000,0.0,311392,11228089,0,-1,197918,0,-1,445,0,0.0,-1,-1,-1,-1,-1,0,
98,iSentium::spy,2013/01/01 11:38:42.000,5.0,311393,286149458465521664,0,-1,82143051,1,622,3092,0,0.0325581,-1,-1,-1,-1,-1,0,"@Attitrade: Happy New Year! http://t.co/cclZyv47 $SPY $QQQ $IWM $DIA $IYT $XLF $XLE $XLU $XLY" <- Outstanding; Thanks Darren!
99,iSentium::spy,2013/01/01 11:38:47.000,5.0,311394,11228104,0,-1,16249,0,-1,1839,0,0.0,-1,-1,-1,-1,-1,0,
100,iSentium::spy,2013/01/01 11:49:17.000,0.0,311395,11228139,0,-1,88069,0,-1,526,0,0.0,-1,-1,-1,-1,-1,0,
101,iSentium::spy,2013/01/01 11:52:27.000,1.0,311396,286152920871862272,0,-1,542573176,1,76,126,0,0.0181818,-1,-1,-1,-1,-1,0,please let this fiscal cliff deal pass today.....would love to see a market rally here and bring $SPY to above 145 on good news
102,iSentium::spy,2013/01/01 11:55:06.000,6.0,311397,286153589431349249,0,-1,171985134,1,216,6237,0,0.0071048,-1,-1,-1,-1,-1,0,$spy Bruce Greenwald On Using Discipline To Beat The Market [VIDEO]:  Bruce Greenwald has conducted se... http://t.co/9N1kT9h8 ValueWalk
103,iSentium::spy,2013/01/01 11:56:10.000,0.0,311398,286153856801452032,0,-1,254968320,1,13,70,0,0.0196078,-1,-1,-1,-1,-1,0,While we await Mark Hulbert's statistics from 1896; here is a fresh look at the first 5 days of January. http://t.co/c7zLGqZw $SPX $SPY
104,iSentium::spy,2013/01/01 11:56:12.000,0.0,311399,11228183,0,-1,54524,0,-1,17,0,0.0,-1,-1,-1,-1,-1,0,
105,iSentium::spy,2013/01/01 11:58:05.000,0.0,311400,286154337426755584,0,-1,20857912,1,13667,863,0,0.040404,-1,-1,-1,-1,-1,0,17 Credit Unions Closed During 2012 http://t.co/ygGpN4Vz $XLF $SPY $DIA $QQQ $IWM $MACRO $FED
106,iSentium::spy,2013/01/01 12:04:11.000,9.0,311401,286155875528343552,1,286035083494846464,59520621,0,33,9,0,0.0,-1,-1,-1,-1,-1,0,RT @SeekingAlpha: False Hope: Low Rates; Write-Offs Make Americans Richer By Default http://t.co/HPH4hFet $QQQ $SPY
107,iSentium::spy,2013/01/01 12:07:40.000,0.0,311402,11228232,0,-1,88069,0,-1,529,0,0.0,-1,-1,-1,-1,-1,0,
108,iSentium::spy,2013/01/01 12:07:46.000,-5.0,311403,11228233,0,-1,199329,0,-1,8,0,0.0,-1,-1,-1,-1,-1,0,
109,iSentium::spy,2013/01/01 12:08:46.000,6.0,311404,286157027431043072,0,-1,889568263,1,51,140,0,0.0,-1,-1,-1,-1,-1,0,I wish everyone a happy and prosperous new year $SPY
110,iSentium::spy,2013/01/01 12:11:30.000,0.0,311405,286157715745693696,0,-1,360642592,1,409,416,0,0.0062111,-1,-1,-1,-1,-1,0,$SPY $SPX 2012;Q4 & Dec S&P 500; Asset Class & Sector Perfor... http://t.co/9UbcnApH
111,iSentium::spy,2013/01/01 12:12:37.000,10.5,311406,286157994822074369,0,-1,260473647,1,219,5639,0,0.0145012,-1,-1,-1,-1,-1,0,I dont like the fiscal cliff deal; dont agree with it but at this point I dont think there is another choice; choose your fights. $SPY $AAPL
112,iSentium::spy,2013/01/01 12:16:47.000,0.0,311407,11228271,0,-1,197918,0,-1,449,0,0.0,-1,-1,-1,-1,-1,0,letting the cat walk around the desk so i don't have to bend over to pet her
113,iSentium::spy,2013/01/01 12:19:50.000,0.0,311408,286159810041348096,0,-1,149560373,1,645,1453,0,0.0305623,-1,-1,-1,-1,-1,0,Dow Jones chart update: http://t.co/bRwg3rSU $DJIA $DIA $SPY
114,iSentium::spy,2013/01/01 12:38:40.000,0.0,311409,286164553383960576,0,-1,195018520,1,95,3828,0,0.0147392,-1,-1,-1,-1,-1,0,
115,iSentium::spy,2013/01/01 12:38:43.000,0.0,311410,11228347,0,-1,44050,0,-1,2253,0,0.0,-1,-1,-1,-1,-1,0,
116,iSentium::spy,2013/01/01 12:50:17.000,0.0,311411,286167473466781696,0,-1,360642592,1,409,417,0,0.0061728,-1,-1,-1,-1,-1,0,$SPX $SPY  Dec '12: How The Sectors Stood Up http://t.co/htMZPfvy
117,iSentium::spy,2013/01/01 12:52:12.000,6.0,311412,11228392,0,-1,122638,0,-1,1112,0,0.0,-1,-1,-1,-1,-1,0,
118,iSentium::spy,2013/01/01 12:53:13.000,8.0,311413,11228394,0,-1,192918,0,-1,13,0,0.0,-1,-1,-1,-1,-1,0,
